,Pixel_Intensity_B4,Pixel_Intensity_B3,Pixel_Intensity_B2,IOU,Scores,Class1,Class2,Class3,Class4,Class5,Class6,Cloud_Prob,Date,Fitted,Index,B4_CI,B3_CI,B2_CI,IOU_CI,Scores_CI,Class1_CI,Class2_CI,Class3_CI,Class4_CI,Class5_CI,Class6_CI,Cloud_Prob_CI
17,8294.0,7569.0,8397.0,1.02806293964386,0.98310244,0.14722637832164764,0.8108989596366882,0.012203250080347061,0.0013794663827866316,0.004927743226289749,0.023364229127764702,96.0,2022-02-24 00:00:00,0,18,0,0,0,1,0,0,0,1,1,1,0,0
18,6222.0,5762.0,6549.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,30.0,2022-02-26 00:00:00,0,19,0,0,0,0,1,1,1,1,1,0,1,0
19,8847.0,8041.0,9144.0,1.040078043937683,0.9829465,0.14595520496368408,0.8122377395629883,0.012213346548378468,0.0013803174952045083,0.004923438653349876,0.023289909586310387,38.0,2022-03-01 00:00:00,0,20,0,0,0,0,0,0,0,1,1,1,0,0
20,2863.0,3038.0,3514.0,1.0138965845108032,0.99688333,0.0023783338256180286,0.9739090800285339,0.006918746046721935,0.007641504518687725,0.0047121355310082436,0.0044403173960745335,27.0,2022-03-06 00:00:00,0,21,1,1,1,0,0,0,0,0,0,0,0,0
21,2052.0,2215.0,2747.0,1.0306419134140017,0.9832042,0.1619752198457718,0.7953801155090332,0.012190966866910458,0.0013794796541333199,0.0049749077297747135,0.024099310860037804,78.0,2022-03-08 00:00:00,0,22,0,0,0,1,0,0,0,1,1,0,0,0
22,1702.0,1821.0,2197.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,1.0,2022-03-11 00:00:00,0,23,0,0,0,0,1,1,1,1,1,0,1,0
23,1751.0,1852.0,2203.0,1.0387353897094729,0.9824916,0.14183081686496735,0.8165907859802246,0.01221093162894249,0.0013826173963025212,0.004908996634185314,0.02307591214776039,22.0,2022-03-16 00:00:00,0,24,0,0,0,0,0,0,0,1,1,1,0,0
24,1652.0,1769.0,2115.0,1.014063596725464,0.9966761,0.002366075525060296,0.97380131483078,0.006878068670630455,0.007599208503961563,0.004935414995998144,0.0044197761453688145,79.0,2022-03-18 00:00:00,0,25,0,0,0,0,0,0,0,0,0,1,0,0
25,2707.0,2764.0,3172.0,1.0289264917373655,0.9831597,0.14825807511806488,0.8098050951957703,0.012218359857797623,0.0013806951465085149,0.004931445699185133,0.023406164720654488,24.0,2022-03-21 00:00:00,0,26,0,0,0,1,0,0,0,1,1,1,0,0
26,2068.0,2361.0,2754.0,1.0274707078933716,0.9845934,0.1173766627907753,0.84251868724823,0.01210862398147583,0.001403838861733675,0.0048099118284881115,0.021782230585813522,100.0,2022-03-26 00:00:00,0,27,0,0,0,0,1,1,1,1,1,0,1,0
